iso,land_sq_km
ABW,180
AFE,14845162.4
AFG,652230
AFW,9045780
AGO,1246700
ALB,27400
AND,470
ARB,13100547
ARE,71020
ARG,2736690
ARM,28470
ASM,200
ATG,440
AUS,7692020
AUT,82520
AZE,82654
BDI,25680
BEL,30280
BEN,112760
BFA,273600
BGD,130170
BGR,108560
BHR,783
BHS,10010
BIH,51200
BLR,202965
BLZ,22810
BMU,54
BOL,1083300
BRA,8358140
BRB,430
BRN,5270
BTN,38140
BWA,566730
CAF,622980
CAN,8965590
CEB,1104992.9
CHE,39516.03
CHI,
CHL,743532
CHN,9424702.9
CIV,318000
CMR,472710
COD,2267050
COG,341500
COL,1109500
COM,1861
CPV,4030
CRI,51060
CSS,404850
CUB,103800
CUW,444
CYM,240
CYP,9240
CZE,77205.5
DEU,349390
DJI,23180
DMA,750
DNK,40000
DOM,48310
DZA,2381741
EAP,16023008.9
EAR,33310592.86
EAS,24505688.8
ECA,22396429.9
ECS,27444478.54
ECU,248360
EGY,995450
EMU,2679977.496
ERI,121080.546
ESP,499570.036
EST,42750
ETH,1128570.858
EUU,3996440.586
FCS,20452600.4
FIN,303930
FJI,18270
FRA,547557
FRO,1396
FSM,700
GAB,257670
GBR,241930
GEO,69490
GHA,227540
GIB,10
GIN,245720
GMB,10120
GNB,28120
GNQ,28050
GRC,128900
GRD,340
GRL,410450
GTM,107160
GUM,540
GUY,196850
HIC,35246785.54
HKG,1050
HND,111890
HPC,19394812.4
HRV,55964
HTI,27560
HUN,91260
IBD,71067497.27
IBT,96094364.67
IDA,25026867.4
IDB,4384525
IDN,1877519
IDX,20642342.4
IMN,570
IND,2973190
INX,
IRL,68890
IRN,1622500
IRQ,434128
ISL,100830
ISR,21640
ITA,295717
JAM,10830
JOR,88794
JPN,364500
KAZ,2699700
KEN,569140
KGZ,191800
KHM,176520
KIR,810
KNA,260
KOR,97600
KWT,17820
LAC,18136660
LAO,230800
LBN,10230
LBR,96320
LBY,1759540
LCA,610
LCN,20038980
LDC,20398202.4
LIC,15734451.4
LIE,160
LKA,61864.47
LMC,24840737.47
LMY,93851548.67
LSO,30360
LTE,44561224.27
LTU,62620
LUX,2574.46
LVA,62227
MAC,32.9
MAF,50
MAR,446300
MCO,2.027
MDA,32885.9
MDG,581800
MDV,300
MEA,11217106
MEX,1943950
MHL,180
MIC,78117097.27
MKD,25220
MLI,1220190
MLT,320
MMR,652700
MNA,8634843
MNE,13450
MNG,1557258
MNP,460
MOZ,786380
MRT,1030700
MUS,2030
MWI,94280
MYS,328550
NAC,18113064
NAM,823290
NCL,18280
NER,1266700
NGA,910770
NIC,120340
NLD,33670
NOR,365094
NPL,143350
NRU,20
NZL,263310
OED,35509398.62
OMN,309500
OSS,2031564
PAK,770880
PAN,74180
PER,1280000
PHL,298170
PLW,460
PNG,452860
POL,306110
PRE,20308719.55
PRI,8870
PRK,120410
PRT,91605.6
PRY,397300
PSE,6020
PSS,64150
PST,31346077.52
PYF,3471
QAT,11490
ROU,230080
RUS,16376870
RWA,24670
SAS,4770124.47
SAU,2149690
SDN,1868000
SEN,192530
SGP,716
SLB,27990
SLE,72180
SLV,20720
SMR,60
SOM,627340
SRB,87460
SSA,23890482.4
SSD,631930
SSF,23890942.4
SST,2500564
STP,960
SUR,156000
SVK,48080
SVN,20136.4
SWE,407283.59
SWZ,17200
SXM,34
SYC,460
SYR,183630
TCA,950
TCD,1259200
TEA,15902418.9
TEC,22988583.9
TGO,54390
THA,510890
TJK,138790
TKM,469930
TLA,19913472
TLS,14870
TMN,8628823
TON,720
TSA,4770124.47
TSS,23890942.4
TTO,5130
TUN,155360
TUR,769630
TUV,30
TZA,885800
UGA,200520
UKR,579400
UMC,53276359.8
URY,175020
USA,9147420
UZB,440555
VCT,390
VEN,882050
VGB,150
VIR,350
VNM,313429
VUT,12190
WLD,129980384.2
WSM,2780
XKX,
YEM,527970
ZAF,1213090
ZMB,743390
ZWE,386850
