country,manufacturing_prc_gdp,gdp_capita_2015ppp
AGO,6.137445405,6.028128563
AUS,5.605068907,48.2591289
AUT,16.591013,52.62457618
BHR,17.62160932,47.47792764
BEL,12.34626916,48.53187039
BRA,10.33250054,14.35056163
CMR,12.82578021,3.591575086
CHL,8.992566577,23.17082876
CHN,26.77472171,16.2705657
COL,10.92694054,13.75557535
CRI,12.04644495,18.58759862
HRV,11.89953084,27.46216063
CZE,22.61708456,38.41014369
DNK,13.40673475,52.66860334
EGY,15.91269958,12.34187696
SLV,15.55867794,8.416807891
EST,13.09802636,33.78732197
FIN,14.41227726,45.81237901
FRA,10.00781495,43.38479264
DEU,19.55664131,50.26800773
GRC,7.812149358,28.10351437
HKG,1.032253801,58.89684064
HUN,17.43648186,31.81924762
IND,13.47361811,6.706195139
IDN,19.70353909,11.96302681
IRQ,2.137531496,10.80102215
IRL,31.58510251,84.59209226
ISR,11.39430759,41.2689757
ITA,14.88415792,39.22975428
JPN,20.05877622,42.10335359
KAZ,11.46636407,24.7832919
KEN,7.904615937,4.158757013
KWT,7.173064815,40.75366463
LVA,10.6002563,29.210788
LTU,16.08323377,34.88721194
MYS,21.40899482,27.65914787
MEX,17.25436526,19.05912638
MAR,14.74945073,8.321661198
NLD,10.77442485,53.85187681
NZL,9.830013551,40.08608349
NGA,11.5223587,4.996883984
NOR,6.181057639,62.06055615
OMN,8.02929792,35.02609734
PAK,12.58727459,5.270838847
PAN,5.723312741,28.09105755
PER,12.84935117,12.31349045
PHL,18.5164544,8.586477164
POL,16.92498816,31.902473
PRT,11.89529572,33.30848399
QAT,7.793395084,88.00331999
ROU,17.16843646,27.06670902
RUS,12.96920728,25.93164906
RWA,8.366595204,2.09362892
SAU,12.06102266,54.12317491
SEN,14.89541542,3.463871761
SRB,13.68195214,17.53412232
SVK,19.75418278,33.35555727
SVN,20.62474535,36.58370951
ZAF,12.39907742,13.49670354
KOR,25.22222287,41.7339443
ESP,10.91381623,38.03366291
SWE,12.80441158,50.97064831
CHE,17.92353933,67.66405613
THA,25.619617,17.49015822
TUN,14.31893977,10.82535017
TUR,18.2939784,27.9750381
UKR,10.78860042,11.56966019
GBR,8.707091123,45.23448289
USA,11.05803677,60.38234636
URY,10.44005722,22.77475354
VNM,23.78671736,9.488081237
ZMB,6.788930097,3.361979665
