country,gdp_capita,pop_m
AGO,6.028128563,32.35359
AUS,48.2591289,25.38011
AUT,52.62457618,8.885206
BHR,47.47792764,1.483756
BEL,48.53187039,11.49735
BRA,14.35056163,211.9439001
CMR,3.591575086,25.78234
CHL,23.17082876,18.92275
CHN,16.2705657,1421.481
COL,13.75557535,50.18741001
CRI,18.58759862,5.084532001
HRV,27.46216063,4.064946
CZE,38.41014369,10.67738
DNK,52.66860334,5.816507
EGY,12.34187696,105.6187
SLV,8.416807891,6.280217
EST,33.78732197,1.328976
FIN,45.81237901,5.522527
FRA,43.38479264,67.26674999
DEU,50.26800773,83.11140999
GRC,28.10351437,10.72083
HKG,58.89684064,7.491429
HUN,31.81924762,9.770736999
IND,6.706195139,1384.521
IDN,11.96302681,269.8063
IRQ,10.80102215,41.56351999
IRL,84.59209226,4.941865
ISR,41.2689757,8.607918999
ITA,39.22975428,59.70718
JPN,42.10335359,126.8403
KAZ,24.7832919,18.75426
KEN,4.158757013,50.95145
KWT,40.75366463,4.4411
LVA,29.210788,1.907675
LTU,34.88721194,2.79409
MYS,27.65914787,32.84744
MEX,19.05912638,125.088
MAR,8.321661198,36.30441
NLD,53.85187681,17.36055
NZL,40.08608349,4.956118999
NGA,4.996883984,203.3045
NOR,62.06055615,5.352817
OMN,35.02609734,4.602768
PAK,5.270838847,223.2933
PAN,28.09105755,4.232532
PER,12.31349045,32.82485999
PHL,8.586477164,110.6055
POL,31.902473,37.96364
PRT,33.30848399,10.28867
QAT,88.00331999,2.807235
ROU,27.06670902,19.36095
RUS,25.93164906,145.6337
RWA,2.09362892,12.83503
SAU,54.12317491,34.21817
SEN,3.463871761,16.00078
SRB,17.53412232,6.945234998
SVK,33.35555727,5.455079
SVN,36.58370951,2.095861
ZAF,13.49670354,58.30948999
KOR,41.7339443,51.77179
ESP,38.03366291,47.18428
SWE,50.97064831,10.29106
CHE,67.66405613,8.606033
THA,17.49015822,71.32090998
TUN,10.82535017,12.04930999
TUR,27.9750381,83.48725001
UKR,11.56966019,42.15320001
GBR,45.23448289,66.82769
USA,60.38234636,330.0463
URY,22.77475354,3.428409
VNM,9.488081237,95.77672
ZMB,3.361979665,18.38048
