country,manufacturing_prc_gdp,population
AGO,6.137445405,32353.59
AUS,5.605068907,25380.11
AUT,16.591013,8885.206
BHR,17.62160932,1483.756
BEL,12.34626916,11497.35
BRA,10.33250054,211943.9
CMR,12.82578021,25782.34
CHL,8.992566577,18922.75
CHN,26.77472171,1421481
COL,10.92694054,50187.41
CRI,12.04644495,5084.532
HRV,11.89953084,4064.946
CZE,22.61708456,10677.38
DNK,13.40673475,5816.507
EGY,15.91269958,105618.7
SLV,15.55867794,6280.217
EST,13.09802636,1328.976
FIN,14.41227726,5522.527
FRA,10.00781495,67266.75
DEU,19.55664131,83111.41
GRC,7.812149358,10720.83
HKG,1.032253801,7491.429
HUN,17.43648186,9770.737
IND,13.47361811,1384521
IDN,19.70353909,269806.3
IRQ,2.137531496,41563.52
IRL,31.58510251,4941.865
ISR,11.39430759,8607.919
ITA,14.88415792,59707.18
JPN,20.05877622,126840.3
KAZ,11.46636407,18754.26
KEN,7.904615937,50951.45
KWT,7.173064815,4441.1
LVA,10.6002563,1907.675
LTU,16.08323377,2794.09
MYS,21.40899482,32847.44
MEX,17.25436526,125088
MAR,14.74945073,36304.41
NLD,10.77442485,17360.55
NZL,9.830013551,4956.119
NGA,11.5223587,203304.5
NOR,6.181057639,5352.817
OMN,8.02929792,4602.768
PAK,12.58727459,223293.3
PAN,5.723312741,4232.532
PER,12.84935117,32824.86
PHL,18.5164544,110605.5
POL,16.92498816,37963.64
PRT,11.89529572,10288.67
QAT,7.793395084,2807.235
ROU,17.16843646,19360.95
RUS,12.96920728,145633.7
RWA,8.366595204,12835.03
SAU,12.06102266,34218.17
SEN,14.89541542,16000.78
SRB,13.68195214,6945.235
SVK,19.75418278,5455.079
SVN,20.62474535,2095.861
ZAF,12.39907742,58309.49
KOR,25.22222287,51771.79
ESP,10.91381623,47184.28
SWE,12.80441158,10291.06
CHE,17.92353933,8606.033
THA,25.619617,71320.91
TUN,14.31893977,12049.31
TUR,18.2939784,83487.25
UKR,10.78860042,42153.2
GBR,8.707091123,66827.69
USA,11.05803677,330046.3
URY,10.44005722,3428.409
VNM,23.78671736,95776.72
ZMB,6.788930097,18380.48
