country,renewables_qbtu,nuclear_qbtu,coal_shorttons,nat_gas_cfeet,petroleum_mbarrel,manufacturing_prc_gdp,erp,population_thsd,gdp_bil_ppp2015
AGO,0.09877426,0,0,238.9996,1447.506849,6.137445405,0.106142818,32353.59,195.0316
AUS,0.483889582,0,355617.8088,5119.749183,360.6973725,5.605068907,0.053415499,25380.11,1224.822
AUT,0.503072321,0,0,32.64899727,12.53891507,16.591013,0.052353875,8885.206,467.5802
BHR,0.00008905,0,0,627.3195332,197.1187808,17.62160932,0.076299391,1483.756,70.44566
BEL,0.201352817,0.427685659,0,0.1370733,0,12.34626916,0.053415499,11497.35,557.9879
BRA,5.482314068,0.157023684,5963.13444,896.8521212,2787.757405,10.33250054,0.070401481,211943.9,3041.514
CMR,0.0477308,0,0,83.552917,69.21411143,12.82578021,0.11593335,25782.34,92.59921
CHL,0.33636682,0,1572.81008,53.79384663,3,8.992566577,0.059195451,18922.75,438.4558
CHN,18.05847822,3.5684974,3685887.643,6332.548363,3825.016438,26.77472171,0.058369743,1421481,23128.3
COL,0.521020911,0,87020.76946,405.2228815,885.8198835,10.92694054,0.066037027,50187.41,690.3567
CRI,0.100926866,0,0,0,0,12.04644495,0.093639248,5084.532,94.50924
HRV,0.074532094,0,0,36.1627483,13.45390959,11.89953084,0.064031737,4064.946,111.6322
CZE,0.100917377,0.323261038,42847.84461,7.38384893,1.625367123,22.61708456,0.056836287,10677.38,410.1197
DNK,0.212829002,0,0,108.1805035,102.0670293,13.40673475,0.052,5816.507,306.3473
EGY,0.187975645,0,0,2354.699937,622.6410959,15.91269958,0.09222375,105618.7,1303.533
SLV,0.03784625,0,0,0,0,15.55867794,0.099655117,6280.217,52.85938
EST,0.019648882,0,0,0,0,13.09802636,0.058369743,1328.976,44.90254
FIN,0.303117833,0.233922437,0,0,0,14.41227726,0.052353875,5522.527,253.0001
FRA,1.132909713,3.939839244,0,0.573253896,14.55786575,10.00781495,0.053769373,67266.75,2918.354
DEU,2.315698339,0.709423057,144748.7353,211.7439452,37.71145753,19.55664131,0.052,83111.41,4177.845
GRC,0.149946764,0,30176.23229,0.397836107,3.349372603,7.812149358,0.072996561,10720.83,301.293
HKG,0.001586701,0,0,0,0,1.032253801,0.056364454,7491.429,441.2215
HUN,0.062396784,0.15502113,7547.51657,60.2120951,17.67235342,17.43648186,0.06320603,9770.737,310.8975
IND,2.752398487,0.45678104,757855.8181,1106.09557,667.5161885,13.47361811,0.064975403,1384521,9284.868
IDN,0.6974522,0,677137.4725,2368.970672,742.139726,19.70353909,0.065801111,269806.3,3227.7
IRQ,0.047555051,0,0,378.248425,4720.369863,2.137531496,0.110389314,41563.52,448.9285
IRL,0.1065346,0,0,93.66081067,0,31.58510251,0.053887331,4941.865,418.0427
ISR,0.025995476,0,0,363.2441105,1,11.39430759,0.058723618,8607.919,355.24
ITA,0.902951126,0,0,169.6209947,77.65673973,14.88415792,0.069693731,59707.18,2342.298
JPN,1.661764152,0.64268449,854.418118,91.67562026,4.119413699,20.05877622,0.054477122,126840.3,5340.402
KAZ,0.102831903,0,102821.4528,819.0568267,1862.986824,11.46636407,0.062144406,18754.26,464.7923
KEN,0.091216587,0,0,0,0,7.904615937,0.099065326,50951.45,211.8947
KWT,0.00049868,0,0,697.0966221,2820.616438,7.173064815,0.05860566,4441.1,180.9911
LVA,0.031414712,0,0,0,0,10.6002563,0.061436657,1907.675,55.72469
LTU,0.028935209,0,0,0,0.7,16.08323377,0.060139116,2794.09,97.47801
MYS,0.317142385,0,3813.088706,2539.385583,609.7247926,21.40899482,0.059195451,32847.44,908.5322
MEX,0.487394186,0.109517266,6232.46074,954.8304817,1703.816712,17.25436526,0.066390902,125088,2384.068
MAR,0.067738385,0,0,3.732081143,0.07,14.74945073,0.064739487,36304.41,302.113
NLD,0.287495113,0.035969859,0,1175.166266,18.15791807,10.77442485,0.052471833,17360.55,934.8982
NZL,0.323153919,0,2020.599266,168.4908794,11.86041096,9.830013551,0.053769373,4956.119,198.6714
NGA,0.075621714,0,60.20045603,1634.960378,1945.643165,11.5223587,0.098239618,203304.5,1015.889
NOR,1.157459514,0,133.4015562,4068.397521,1437.135753,6.181057639,0.052471833,5352.817,332.1988
OMN,0.000151385,0,0,1281.236722,970.9397562,8.02929792,0.08432055,4602.768,161.217
PAK,0.3726992,0.095718828,9186.527012,1206.096616,84.97808219,12.58727459,0.104845278,223293.3,1176.943
PAN,0.055284912,0,0,0,0,5.723312741,0.0599032,4232.532,118.8963
PER,0.310320577,0,695.4398028,475.7571848,52.98377973,12.84935117,0.060375033,32824.86,404.1886
PHL,0.211249604,0,16835.58063,124.8950447,1,18.5164544,0.058841576,110605.5,949.7116
POL,0.262493904,0,110099.5517,202.8097843,19.49804932,16.92498816,0.060492991,37963.64,1211.134
PRT,0.257963024,0,0,0,0,11.89529572,0.05789791,10288.67,342.7
QAT,0.001125271,0,0,5913.839304,1231.443836,7.793395084,0.058369743,2807.235,247.046
ROU,0.228926542,0.123421098,23867.56996,362.5112807,69.88897808,17.16843646,0.064031737,19360.95,524.0372
RUS,1.777610579,2.105716415,374753.7593,23937.63721,10847.37415,12.96920728,0.062380322,145633.7,3776.522
RWA,0.004104056,0,0,2.045379665,0,8.366595204,0.087151547,12835.03,26.87179
SAU,0.00290303,0,0,3982.174327,9980.90411,12.06102266,0.062026448,34218.17,1851.996
SEN,0.00660751,0,0,2.1189006,0,14.89541542,0.082669135,16000.78,55.42465
SRB,0.093617669,0,42858.386,16.09602811,17,13.68195214,0.064975403,6945.235,121.7786
SVK,0.058682436,0.16943361,1614.88415,2.446464866,0.208252055,19.75418278,0.057544036,5455.079,181.9572
SVN,0.044505674,0.055523468,3464.351993,0.356419863,0,20.62474535,0.06320603,2095.861,76.67437
ZAF,0.111770795,0.136506105,280797.306,43.42094056,1.2402,12.39907742,0.079130388,58309.49,786.9859
KOR,0.251248699,1.34296941,1197.10866,8.47714119,0,25.22222287,0.079130388,51771.79,2160.641
ESP,0.969438271,0.555515397,0,4.6968551,0.815167123,10.91381623,0.058487702,47184.28,1794.591
SWE,0.906394178,0.647007037,0,0,0,12.80441158,0.052117958,10291.06,524.542
CHE,0.362144845,0.26121824,0,0,0,17.92353933,0.052,8606.033,582.3191
THA,0.394267676,0,15518.32018,1385.405624,228.3178082,25.619617,0.055538746,71320.91,1247.414
TUN,0.007221065,0,0,39.6182298,33.99413796,14.31893977,0.097767785,12049.31,130.438
TUR,1.175369649,0,95228.81223,16.5785701,57.5111589,18.2939784,0.090808251,83487.25,2335.559
UKR,0.110050212,0.853422424,21767.53603,697.0721285,34.50772329,10.78860042,0.111804812,42153.2,487.6982
GBR,1.129327111,0.460870806,2038.237329,1386.081371,1029.032448,8.707091123,0.053887331,66827.69,3022.916
USA,11.63171622,8.451851513,635049.6095,33899.02059,12248.01915,11.05803677,0.052,330046.3,19928.97
URY,0.14205812,0,0,0,0,10.44005722,0.065093361,3428.409,78.08117
VNM,0.657276865,0,50361.23697,342.5349327,221.7752503,23.78671736,0.068632108,95776.72,908.7373
ZMB,0.111562837,0,1098.336172,0,0,6.788930097,0.193785768,18380.48,61.7948
